language	concept	value
Nasu	breast	a 55 pa_ 21
Lisu	breast	a 55 tʃɨ 35
Baihong	breast	a31 tʃɨ55
Hani	breast	aq qul
Nosu	breast	axnie
Samei	breast	a bi
Nisu	breast	A 55 nɯ 21
Biyue	breast	na55 nv.33
Kucong	breast	ɟu
Nusu	breast	nɯ nɯ
Jinghpo	breast	chyu
Lahu Shi	breast	dzu35 pɛ31
Lahu Na	breast	cuq
Zaozou	breast	na 35 pho 42
Jinuo	breast	me po
Naxi	breast	zɔ
Zaiwa	breast	nau 55
Mandarin	breathe	hu xi11
Nasu	breathe	-
Lisu	breathe	-
Baihong	breathe	sa31 wo (ɣo?)55
Hani	breathe	savq hhol
Nosu	breathe	sotcyp sotmgo
Samei	breathe	se tswa
Nisu	breathe	-
Biyue	breathe	-
Kucong	breathe	ça qo
Nusu	breathe	swɔ
Jinghpo	breathe	nsa sa
Lahu Shi	breathe	-
Lahu Na	breathe	shaq xawl
Zaozou	breathe	-
Jinuo	breathe	a sa ka
Naxi	breathe	sa khɯ
Zaiwa	breathe	-
Mandarin	bright	ming liang24
Nasu	bright	bo_ 21
Lisu	bright	lɛ 35
Baihong	bright	ba55
Hani	bright	bia loq nei
Nosu	bright	ssi
Samei	bright	ljɔ
Nisu	bright	bo 21
Biyue	bright	lɤ31
Kucong	bright	ɟɛ ba
Nusu	bright	dʐœ
Jinghpo	bright	san
Lahu Shi	bright	bA33
Lahu Na	bright	ba ca*
Zaozou	bright	pa~o 35
Jinuo	bright	a pɹɔ
Naxi	bright	mbu33
Zaiwa	bright	san 21
Mandarin	build	jian zhu44
Nasu	build	-
Lisu	build	-
Baihong	build	dzʊ31
Hani	build	laqhyul cuv
Nosu	build	-
Samei	build	xi v. (xi = house)
Nisu	build	-
Biyue	build	-
Kucong	build	ʝɛ co
Nusu	build	gwo
Jinghpo	build	shachyo
Lahu Shi	build	-
Lahu Na	build	yie* te
Zaozou	build	-
Jinuo	build	khe
Naxi	build	-
Zaiwa	build	-
Mandarin	burn	ran shao21
Nasu	burn	-
Lisu	burn	-
Baihong	burn	pɤ31
Hani	burn	peev
Nosu	burn	jjie
Samei	burn	do zo
Nisu	burn	-
Biyue	burn	-
Kucong	burn	mi du
Nusu	burn	dzY
Jinghpo	burn	hkru
Lahu Shi	burn	-
Lahu Na	burn	tor ca*
Zaozou	burn	-
Jinuo	burn	pɹo (?)
Naxi	burn	ndʐɨ
Zaiwa	burn	-
Mandarin	butt	pi gu40
Nasu	butt	-
Lisu	butt	-
Baihong	butt	do31 me55
Hani	butt	-
Nosu	butt	-
Samei	butt	-
Nisu	butt	-
Biyue	butt	-
Kucong	butt	-
Nusu	butt	phi ba
Jinghpo	butt	-
Lahu Shi	butt	-
Lahu Na	butt	-
Zaozou	butt	-
Jinuo	butt	-
Naxi	butt	tɕɛ kwәr
Zaiwa	butt	-
Mandarin	buy	mai3
Nasu	buy	vo, 21
Lisu	buy	vu 33
Baihong	buy	ɯ (ɣɯ?)55
Hani	buy	hhel
Nosu	buy	miep
Samei	buy	vɤ
Nisu	buy	vE 21
Biyue	buy	v.55
Kucong	buy	vә
Nusu	buy	we
Jinghpo	buy	mari
Lahu Shi	buy	vɯ31
Lahu Na	buy	veol
Zaozou	buy	ve 33
Jinuo	buy	ju
Naxi	buy	xa31
Zaiwa	buy	vui 51
Mandarin	candle	la zhu42
Nasu	candle	la_ 21 tʂu_ 21
Lisu	candle	la 31 tʂu 31
Baihong	candle	la dʒu
Hani	candle	biaq saoq al dovq
Nosu	candle	lapcy dutdda
Samei	candle	-
Nisu	candle	lA_ 21 tʂu_ 21
Biyue	candle	-
Kucong	candle	bjɛ xo
Nusu	candle	la dʐu
Jinghpo	candle	hpayongdeng
Lahu Shi	candle	-
Lahu Na	candle	pied khaw*
Zaozou	candle	la 35 tsu 35
Jinuo	candle	-
Naxi	candle	la 13 tsu 13
Zaiwa	candle	pjo` 21 pau 55 mji 21
Mandarin	cat	mao1
Nasu	cat	a 33 mɚ_ 55
Lisu	cat	a 31 ni 33 za 31
Baihong	cat	a55 mi55
Hani	cat	al mil
Nosu	cat	axnyie
Samei	cat	mә mi
Nisu	cat	A 55 nE 33
Biyue	cat	a55 ɲi55
Kucong	cat	mi næ
Nusu	cat	ma ɲɛ
Jinghpo	cat	nyau
Lahu Shi	cat	nA35 mi35
Lahu Na	cat	mieq ni
Zaozou	cat	pa 31 ɲi 35
Jinuo	cat	jo me
Naxi	cat	xua55 le31
Zaiwa	cat	la` 21 ɲa_u 55
Mandarin	catch	zhuo1
Nasu	catch	ʑu 21
Lisu	catch	zu 33
Baihong	catch	-
Hani	catch	-
Nosu	catch	-
Samei	catch	-
Nisu	catch	ʐu 21
Biyue	catch	ɲi33
Kucong	catch	-
Nusu	catch	-
Jinghpo	catch	-
Lahu Shi	catch	ni31
Lahu Na	catch	-
Zaozou	catch	næ 31
Jinuo	catch	-
Naxi	catch	-
Zaiwa	catch	tʃu_p 55
Mandarin	caterpillar	mao chong22
Nasu	caterpillar	tʂhi_ 55 bu 21 mi 33 tsɨ 33
Lisu	caterpillar	bɯ 31 tshu 31 sɛ 35
Baihong	caterpillar	a31 bi31
Hani	caterpillar	aq zuq
Nosu	caterpillar	-
Samei	caterpillar	v. (= insect)
Nisu	caterpillar	bɤ 21 dʐɨ 33
Biyue	caterpillar	bi31 dʒv.31
Kucong	caterpillar	bu mɯ
Nusu	caterpillar	a sɨ (si?) ba (same as insect)
Jinghpo	caterpillar	sumbra
Lahu Shi	caterpillar	po31 mɤ31 sɯ54
Lahu Na	caterpillar	peoq meof peu*
Zaozou	caterpillar	pa 42 ɕi 55 pɔ 35 o~ 33
Jinuo	caterpillar	pu tʃu
Naxi	caterpillar	-
Zaiwa	caterpillar	tuŋ 51 saŋ 21
Mandarin	cattle	niu3
Nasu	cattle	ɲɯ 33
Lisu	cattle	a 55 ɲi 31
Baihong	cattle	a31 ɲu31
Hani	cattle	aq niuq
Nosu	cattle	le
Samei	cattle	a nә
Nisu	cattle	ni 33
Biyue	cattle	v.55 nv.31 mo53 no31
Kucong	cattle	ɲu
Nusu	cattle	nu
Jinghpo	cattle	nga
Lahu Shi	cattle	nu53
Lahu Na	cattle	nud
Zaozou	cattle	nu 31
Jinuo	cattle	me nju (= huangniu); pɔ na (= shuiniu)
Naxi	cattle	ɣɯ33
Zaiwa	cattle	no 21
Mandarin	cave	shan dong14
Nasu	cave	fa_ 55 bɔ 33
Lisu	cave	ɣa 55 tʃhɨ 44 khu 31
Baihong	cave	-
Hani	cave	-
Nosu	cave	-
Samei	cave	-
Nisu	cave	bɤ 21 lu 55 tɤ 21
Biyue	cave	mi53 ko55
Kucong	cave	-
Nusu	cave	-
Jinghpo	cave	-
Lahu Shi	cave	mi31 qhɔ33 qu31
Lahu Na	cave	-
Zaozou	cave	ɔ 31 tɔ~ 31 tɔ~ 31
Jinuo	cave	-
Naxi	cave	-
Zaiwa	cave	pum 51 toŋ 21
Mandarin	chicken	ji1
Nasu	chicken	ɣa_ 21
Lisu	chicken	a 55 ɣa 55
Baihong	chicken	a31 xa55
Hani	chicken	aq ha
Nosu	chicken	va
Samei	chicken	ʑi
Nisu	chicken	ʑi_ɛ_ 33
Biyue	chicken	ja33
Kucong	chicken	ɣɔ
Nusu	chicken	ʐo
Jinghpo	chicken	u
Lahu Shi	chicken	ɣA54
Lahu Na	chicken	xat
Zaozou	chicken	ʔu 42
Jinuo	chicken	ja
Naxi	chicken	a31
Zaiwa	chicken	voʔ 21
Mandarin	claw	zhua3
Nasu	claw	da_ 55
Lisu	claw	lɛ 31 se 31
Baihong	claw	la31 sɤ55
Hani	claw	seiqsaoq
Nosu	claw	xyxsi
Samei	claw	-
Nisu	claw	li_ɛ_ 21 ʂɨ 33
Biyue	claw	po31 sɨ31
Kucong	claw	la ga
Nusu	claw	lo sæ (se?)
Jinghpo	claw	lamyin
Lahu Shi	claw	lA 21 qA53
Lahu Na	claw	kheu shif
Zaozou	claw	tɯ 55 se~ 31 vu 35
Jinuo	claw	la sɨ (sɚ?)
Naxi	claw	tʂә31
Zaiwa	claw	san 21
Mandarin	clay	nian tu23
Nasu	clay	-
Lisu	clay	-
Baihong	clay	dza31 ge55
Hani	clay	milneiq milnil
Nosu	clay	zapnyo
Samei	clay	ɲi ho (same as mud)
Nisu	clay	-
Biyue	clay	-
Kucong	clay	ni cә
Nusu	clay	-
Jinghpo	clay	ga gitnai
Lahu Shi	clay	-
Lahu Na	clay	jed nawd
Zaozou	clay	-
Jinuo	clay	a pɹɯ
Naxi	clay	dʐɨ nda
Zaiwa	clay	-
Mandarin	close (shut)	guan bi14
Nasu	close (shut)	pi 55
Lisu	close (shut)	tsɨ 55
Baihong	close (shut)	ɣɯ (ɯ?)55 pi31
Hani	close (shut)	piq
Nosu	close (shut)	ggot
Samei	close (shut)	u dʐɨ
Nisu	close (shut)	pi 21
Biyue	close (shut)	v.55 pi31
Kucong	close (shut)	xu
Nusu	close (shut)	bi
Jinghpo	close (shut)	la
Lahu Shi	close (shut)	fu54
Lahu Na	close (shut)	hot
Zaozou	close (shut)	tɕiɔ 35
Jinuo	close (shut)	phi
Naxi	close (shut)	tәr55
Zaiwa	close (shut)	mji 21
Mandarin	clothes	yi fu10
Nasu	clothes	mbhe 33
Lisu	clothes	ba 33 tshɨ 31
Baihong	clothes	pa55 xoŋ31
Hani	clothes	peilhaoq
Nosu	clothes	vitgga
Samei	clothes	a thaɔr
Nisu	clothes	thA 21
Biyue	clothes	go31 dʒɨ31
Kucong	clothes	a çja
Nusu	clothes	go; gwɔ
Jinghpo	clothes	labu palong
Lahu Shi	clothes	A31 pu31
Lahu Na	clothes	aq por
Zaozou	clothes	mi 33 kɯ 33
Jinuo	clothes	kɔ tɯ
Naxi	clothes	mba33 la31
Zaiwa	clothes	pu 21
Mandarin	cloud	yun2
Nasu	cloud	to, 33
Lisu	cloud	mu 44 ku 55
Baihong	cloud	dʒɨ55 xo55
Hani	cloud	joqhyuq
Nosu	cloud	hxip
Samei	cloud	-
Nisu	cloud	tE 55
Biyue	cloud	ɲi31 tɕi31
Kucong	cloud	mɔ fi
Nusu	cloud	pɯ
Jinghpo	cloud	samui
Lahu Shi	cloud	mo31 fi53
Lahu Na	cloud	mol
Zaozou	cloud	tɕiæ~ 55
Jinuo	cloud	pɯ te (= cotton)
Naxi	cloud	tɕi31
Zaiwa	cloud	mu_t 55 mau 55
Mandarin	coarse	cu cao11
Nasu	coarse	sa_ 21
Lisu	coarse	sɛ 35 su 31 mu 44
Baihong	coarse	ju (ʒo?)31 di31 le31
Hani	coarse	savtuvnei
Nosu	coarse	culuhele
Samei	coarse	phɯ (??)
Nisu	coarse	ɕi_ɛ_ 33
Biyue	coarse	tʃv.33
Kucong	coarse	ça
Nusu	coarse	ʑi
Jinghpo	coarse	mazut mazat
Lahu Shi	coarse	mA53 dA 21
Lahu Na	coarse	shat
Zaozou	coarse	tɕhu 35 tɯ 44 tɯ 42
Jinuo	coarse	a su a sæ
Naxi	coarse	bœ
Zaiwa	coarse	kjut 21
Mandarin	cockroach	zhang1 lang2
Nasu	cockroach	-
Lisu	cockroach	-
Baihong	cockroach	a31 pa31 la55 ɣa55 ma55
Hani	cockroach	al pia
Nosu	cockroach	bbusyxsy
Samei	cockroach	-
Nisu	cockroach	-
Biyue	cockroach	-
Kucong	cockroach	bi ba ɣu (~gu?)
Nusu	cockroach	-
Jinghpo	cockroach	shalip
Lahu Shi	cockroach	-
Lahu Na	cockroach	piq pa
Zaozou	cockroach	-
Jinuo	cockroach	pu phɹɔ lɔ phɹɔ
Naxi	cockroach	bә di
Zaiwa	cockroach	-
Mandarin	cold	leng3
Nasu	cold	njhɔ 21
Lisu	cold	dʒɛ 44
Baihong	cold	ga55
Hani	cold	gav
Nosu	cold	mgo
Samei	cold	dzɔ
Nisu	cold	ji_ɛ_ 33
Biyue	cold	dzv.31
Kucong	cold	ga
Nusu	cold	dʐwɔ
Jinghpo	cold	gatsi
Lahu Shi	cold	kA53
Lahu Na	cold	kat
Zaozou	cold	kou 42
Jinuo	cold	tʃho
Naxi	cold	tɕhi55
Zaiwa	cold	kjoʔ 21
Mandarin	color	yan se24
Nasu	color	ʑe_ 21 sɤ_ 21
Lisu	color	phi 31
Baihong	color	jæn (ʒæn?)31 sɤ31
Hani	color	zaqciq
Nosu	color	nyitnjy
Samei	color	-
Nisu	color	zi_ɛ_ 21 sɤ_ 21
Biyue	color	o31 sɤ31
Kucong	color	-
Nusu	color	jæ~ sɤ
Jinghpo	color	nsam
Lahu Shi	color	-
Lahu Na	color	awl sheoq
Zaozou	color	tɯ 55 ʑi 42 sɯ 35
Jinuo	color	a khja
Naxi	color	jæn sә
Zaiwa	color	i_ 21 sam 51
Mandarin	come	lai2
Nasu	come	le 21
Lisu	come	la 33
Baihong	come	la31
Hani	come	lal
Nosu	come	la
Samei	come	go li
Nisu	come	liɛ 21
Biyue	come	la55
Kucong	come	la
Nusu	come	do
Jinghpo	come	sa
Lahu Shi	come	lA31
Lahu Na	come	lal
Zaozou	come	le 35
Jinuo	come	lɒ
Naxi	come	lɔ
Zaiwa	come	le 55
Mandarin	cooked	shu2
Nasu	cooked	mɚ 21
Lisu	cooked	e 55 mi 44
Baihong	cooked	mɔ55
Hani	cooked	miao
Nosu	cooked	-
Samei	cooked	mi
Nisu	cooked	mi_ɛ_ 21
Biyue	cooked	mi33
Kucong	cooked	mæ
Nusu	cooked	ɲo
Jinghpo	cooked	hkut
Lahu Shi	cooked	mɛ33
Lahu Na	cooked	mie
Zaozou	cooked	mi 42
Jinuo	cooked	a tʃa (same as ripe)
Naxi	cooked	-
Zaiwa	cooked	ɲoʔ 21
Mandarin	cough	ke sou20
Nasu	cough	tsɯ 55
Lisu	cough	tsɨ 55
Baihong	cough	-
Hani	cough	-
Nosu	cough	zyp
Samei	cough	dʐɨ(r?) (dzɨ ?)
Nisu	cough	tʂɨ 21
Biyue	cough	tʃɨ31
Kucong	cough	-
Nusu	cough	-
Jinghpo	cough	jahkru
Lahu Shi	cough	tsɨ31
Lahu Na	cough	zif
Zaozou	cough	tsha 31 ɣɯ 31 tsa 44
Jinuo	cough	-
Naxi	cough	tʂәr33
Zaiwa	cough	khjuŋ 21 tsau 21
Mandarin	crow	wu1 ya1
Nasu	crow	a 55 je 33
Lisu	crow	a 55 nɛ 55
Baihong	crow	ɔ55 na55
Hani	crow	haqnav'aqma
Nosu	crow	axiji
Samei	crow	a ne
Nisu	crow	A 55 niɛ_ 33
Biyue	crow	lɤ31 ŋa31
Kucong	crow	a na qɔ
Nusu	crow	dʐɨ no
Jinghpo	crow	uhka
Lahu Shi	crow	A31 nA31 dzɨ
Lahu Na	crow	aq nat qaf
Zaozou	crow	lou 31 pɔ 33 o~ 33
Jinuo	crow	u ja
Naxi	crow	la33 ka31
Zaiwa	crow	ŋo`ʔ 55 noʔ 21
Mandarin	cry	ku1
Nasu	cry	ŋɯ 21
Lisu	cry	ŋu 33
Baihong	cry	ny55
Hani	cry	ngyul
Nosu	cry	yingox
Samei	cry	ŋy
Nisu	cry	ŋɯ 55
Biyue	cry	ɲi55
Kucong	cry	xo
Nusu	cry	ŋɯ
Jinghpo	cry	hkrap
Lahu Shi	cry	xɔ~31
Lahu Na	cry	hawl
Zaozou	cry	ŋɯ 33
Jinuo	cry	ɲy
Naxi	cry	ŋv.31
Zaiwa	cry	ŋau 51
Mandarin	cucumber	huang gua21
Nasu	cucumber	sa 33 tɕe 33
Lisu	cucumber	a 31 pu 44
Baihong	cucumber	si31 xo31
Hani	cucumber	siqhuvq
Nosu	cucumber	-
Samei	cucumber	-
Nisu	cucumber	ʂA 21 tɕiɛ 33
Biyue	cucumber	so31 ko31
Kucong	cucumber	a pho çi
Nusu	cucumber	zwa
Jinghpo	cucumber	n-gyin
Lahu Shi	cucumber	A33 phAi53
Lahu Na	cucumber	a phied
Zaozou	cucumber	ta~ 44 khu 42
Jinuo	cucumber	sɨ khu
Naxi	cucumber	-
Zaiwa	cucumber	tuŋ 51 kho 21
Mandarin	cup	bei1 zi0
Nasu	cup	lo_ 55 tɕe 33 ʑi 33 pa_ 21
Lisu	cup	do 33 kɯ 55
Baihong	cup	be55 dzɨ31
Hani	cup	-
Nosu	cup	bixzy
Samei	cup	-
Nisu	cup	tʂhA_ 21 pE 33
Biyue	cup	-
Kucong	cup	bej
Nusu	cup	bej dzɨ
Jinghpo	cup	gom
Lahu Shi	cup	pei33 tsɨ33
Lahu Na	cup	khied (same as bowl)
Zaozou	cup	tɕio~ 42 tɕu 35 læ 31
Jinuo	cup	pʊ tho
Naxi	cup	bej dzɨ
Zaiwa	cup	pha? 21 lap 21 kom 51
Mandarin	cut	qie1
Nasu	cut	so_ 21
Lisu	cut	ɣo 44
Baihong	cut	je (ʒe?)31
Hani	cut	yeiq
Nosu	cut	wo
Samei	cut	so
Nisu	cut	ʂu_ 33
Biyue	cut	ji31
Kucong	cut	wo
Nusu	cut	no
Jinghpo	cut	mot
Lahu Shi	cut	sɔ54
Lahu Na	cut	shawt
Zaozou	cut	ɣæ 33
Jinuo	cut	tɒ
Naxi	cut	xer55
Zaiwa	cut	xum 51
Mandarin	dance	tiao wu43
Nasu	dance	go_ 21 ʈhi_ 21
Lisu	dance	kua 44 khi 35 khi 35
Baihong	dance	tsɔ
Hani	dance	haqhhal seil
Nosu	dance	biexqie
Samei	dance	dy tjɔ (song + borrowed 'tiao'?)
Nisu	dance	ko 33 pi_ 33
Biyue	dance	tiau35 v.33
Kucong	dance	ɲo çæ
Nusu	dance	go
Jinghpo	dance	ka
Lahu Shi	dance	qA31 qhi53
Lahu Na	dance	qa* khie*
Zaozou	dance	thiɔ 55
Jinuo	dance	thjɒ mә
Naxi	dance	tsho33 tsho33
Zaiwa	dance	ma` khon 51 ko 51
Mandarin	dark	an4
Nasu	dark	na_ 33 dɯ 33
Lisu	dark	nɛ 44 tshi 35
Baihong	dark	na55
Hani	dark	navhaoq
Nosu	dark	-
Samei	dark	ne bʊ
Nisu	dark	ni_ɛ_ 33
Biyue	dark	na33
Kucong	dark	na xu
Nusu	dark	khә
Jinghpo	dark	sin
Lahu Shi	dark	mɛ54 mA53 mɔ31
Lahu Na	dark	nat hor
Zaozou	dark	ʔi~ 44
Jinuo	dark	a na
Naxi	dark	-
Zaiwa	dark	no? 21
Mandarin	daughter	nü er32
Nasu	daughter	-
Lisu	daughter	-
Baihong	daughter	ja31 mi31
Hani	daughter	-
Nosu	daughter	-
Samei	daughter	-
Nisu	daughter	-
Biyue	daughter	-
Kucong	daughter	-
Nusu	daughter	-
Jinghpo	daughter	num sha
Lahu Shi	daughter	-
Lahu Na	daughter	-
Zaozou	daughter	-
Jinuo	daughter	-
Naxi	daughter	-
Zaiwa	daughter	-
Mandarin	day	bai tian21
Nasu	day	mu 33 ɲi 21
Lisu	day	mo 42 lo 44
Baihong	day	ʊ31 nɔ55
Hani	day	naohhaol
Nosu	day	munyipmop
Samei	day	mә nә
Nisu	day	mu 33 ni 21
Biyue	day	ɲi33 ko55
Kucong	day	mɔ xɔ gɔ
Nusu	day	ɲi tsa
Jinghpo	day	shani shingtung
Lahu Shi	day	mo55 qɔ33
Lahu Na	day	mud law* gaw*
Zaozou	day	mɯ 35 kha 35
Jinuo	day	ɲi kɔ
Naxi	day	ɲi33 le55 ŋgv.33
Zaiwa	day	ɲi 55 khjui 55
Mandarin	deep	shen1
Nasu	deep	na_ 55
Lisu	deep	nɛ 55
Baihong	deep	nɤ (na?)31
Hani	deep	navq
Nosu	deep	ahnut
Samei	deep	ne
Nisu	deep	ni_ɛ_ 21
Biyue	deep	ne31
Kucong	deep	na
Nusu	deep	tʂu
Jinghpo	deep	sung
Lahu Shi	deep	nA35
Lahu Na	deep	naq
Zaozou	deep	hæ~ 33
Jinuo	deep	ji na (many +)
Naxi	deep	xo55
Zaiwa	deep	nik 21
Mandarin	descend	xia4
Nasu	descend	za_ 55
Lisu	descend	zɛ 31
Baihong	descend	ʐɨ (ʐe)
Hani	descend	ssavq yil
Nosu	descend	jjyp
Samei	descend	ze ʑi
Nisu	descend	tɯ 33
Biyue	descend	go33 ji55
Kucong	descend	ʝa kha (kha = go)
Nusu	descend	thɯ
Jinghpo	descend	yu
Lahu Shi	descend	zA 21
Lahu Na	descend	yar e (xiaqu)
Zaozou	descend	kɔ 35
Jinuo	descend	zaj (zae?)
Naxi	descend	mә
Zaiwa	descend	kjo 55
Mandarin	die	si3
Nasu	die	ɕi 33
Lisu	die	ʃɨ 44
Baihong	die	sɨ31
Hani	die	sil
Nosu	die	sy
Samei	die	ʂɨ go
Nisu	die	ʂɨ 21
Biyue	die	ʃɨ55
Kucong	die	çә
Nusu	die	ɕi
Jinghpo	die	si
Lahu Shi	die	sɨ55
Lahu Na	die	si
Zaozou	die	ɕi 55
Jinuo	die	ɕi
Naxi	die	ʂɯ33
Zaiwa	die	ʃi 55
Mandarin	difficult	nan2
Nasu	difficult	pa_ 55 kha_ 33
Lisu	difficult	xua 55
Baihong	difficult	nan31
Hani	difficult	syuq
Nosu	difficult	wezze
Samei	difficult	nɔ; nә hɔ
Nisu	difficult	tɕhi_ɛ_ 33
Biyue	difficult	sɔ31
Kucong	difficult	ɟә na
Nusu	difficult	gja
Jinghpo	difficult	yak
Lahu Shi	difficult	ti33 mA31 sA33
Lahu Na	difficult	hawq
Zaozou	difficult	tɕhia~ 31
Jinuo	difficult	ja
Naxi	difficult	njә31
Zaiwa	difficult	vui 21
Mandarin	dig	wa1
Nasu	dig	kɚ_ 55
Lisu	dig	du 31
Baihong	dig	dv.55
Hani	dig	duq
Nosu	dig	ndu
Samei	dig	ga
Nisu	dig	kɛ_ 21
Biyue	dig	dv.31
Kucong	dig	du
Nusu	dig	du
Jinghpo	dig	htu
Lahu Shi	dig	kA31
Lahu Na	dig	qawd
Zaozou	dig	uæ 42
Jinuo	dig	tu
Naxi	dig	jjɛ
Zaiwa	dig	khai 21
Mandarin	dog	gou3
Nasu	dog	tɕhi 33
Lisu	dog	a 55 na 31
Baihong	dog	a31 kɯ55
Hani	dog	aq keeq
Nosu	dog	ke
Samei	dog	khy
Nisu	dog	tshɨ 33
Biyue	dog	kɤ31
Kucong	dog	phɯ
Nusu	dog	khwi
Jinghpo	dog	gui
Lahu Shi	dog	phɯ53
Lahu Na	dog	pheud
Zaozou	dog	khyi 31
Jinuo	dog	khy jo
Naxi	dog	khɯ33
Zaiwa	dog	khui 21
Mandarin	door	men2
Nasu	door	a 21 ŋgho 33
Lisu	door	a 55 khɯ 31
Baihong	door	lɔ55 ʊ31
Hani	door	lulhhuv
Nosu	door	ipko
Samei	door	a khe
Nisu	door	go 21
Biyue	door	ji55 gv.33
Kucong	door	ɣa mi
Nusu	door	khɔ
Jinghpo	door	nhka
Lahu Shi	door	ɣA54 mi31
Lahu Na	door	yiel miq
Zaozou	door	khæ 31 kha 42
Jinuo	door	a ko
Naxi	door	khu33
Zaiwa	door	khum 21
Mandarin	dream (n)	meng4
Nasu	dream (n)	ʑi_ 55 ma_ 33
Lisu	dream (n)	e 31 mɛ 33
Baihong	dream (n)	ma55 dʊ55
Hani	dream (n)	yiuvq mav
Nosu	dream (n)	ietmuop
Samei	dream (n)	ʑi me
Nisu	dream (n)	zɨ_ 21 mi_ɛ_ 21
Biyue	dream (n)	ma33 mi55
Kucong	dream (n)	ʝә (?) ma
Nusu	dream (n)	hmɯ
Jinghpo	dream (n)	yupmang
Lahu Shi	dream (n)	zɨ31 mA33
Lahu Na	dream (n)	rir mat
Zaozou	dream (n)	ɣæ 33 mo 42
Jinuo	dream (n)	mi ma
Naxi	dream (n)	ʑi55 mu33
Zaiwa	dream (n)	ju_p 55 mo? 21
Mandarin	dress, to	chuan1
Nasu	dress, to	go 55
Lisu	dress, to	gua 31
Baihong	dress, to	dv.55
Hani	dress, to	dao
Nosu	dress, to	ggat
Samei	dress, to	vi
Nisu	dress, to	vi_ 21
Biyue	dress, to	di33
Kucong	dress, to	vɯ
Nusu	dress, to	wa
Jinghpo	dress, to	hpun
Lahu Shi	dress, to	vɯ 21
Lahu Na	dress, to	veu*
Zaozou	dress, to	va 42
Jinuo	dress, to	tɯ
Naxi	dress, to	mu31
Zaiwa	dress, to	vut 21
Mandarin	drink	he1
Nasu	drink	ndhɔ 21
Lisu	drink	do 33
Baihong	drink	dɔ55
Hani	drink	dol
Nosu	drink	-
Samei	drink	du (dʊ?)
Nisu	drink	dA 21
Biyue	drink	do55
Kucong	drink	do
Nusu	drink	ʂu
Jinghpo	drink	lu
Lahu Shi	drink	dɔ31
Lahu Na	drink	dawl
Zaozou	drink	fu 42
Jinuo	drink	tɒ
Naxi	drink	-
Zaiwa	drink	ʃuʔ 55
Mandarin	drum	gu3
Nasu	drum	dzɔ 21
Lisu	drum	da 31 khu 35
Baihong	drum	lɯ31 dɯ31
Hani	drum	luqduq
Nosu	drum	gozzi
Samei	drum	ji bo
Nisu	drum	dzE 21 po 33
Biyue	drum	pi31 mo33
Kucong	drum	gu
Nusu	drum	gu
Jinghpo	drum	chying
Lahu Shi	drum	luo31 ku53
Lahu Na	drum	ciel qof
Zaozou	drum	to~ 33 to~ 33 læ 31
Jinuo	drum	sɨ thu
Naxi	drum	nda33 kv.33
Zaiwa	drum	tsiŋ 51
Mandarin	drunk	zui4
Nasu	drunk	ʑi_ 55
Lisu	drunk	ʒi 42
Baihong	drunk	je31
Hani	drunk	yevq
Nosu	drunk	yit
Samei	drunk	ʑi ; du ʑi (du = drink)
Nisu	drunk	ɕiɛ 33
Biyue	drunk	bv.33
Kucong	drunk	bo
Nusu	drunk	ija; ja
Jinghpo	drunk	na
Lahu Shi	drunk	bɔ35
Lahu Na	drunk	but
Zaozou	drunk	ʑa 42
Jinuo	drunk	mo
Naxi	drunk	ko31
Zaiwa	drunk	vut 21
Mandarin	dry	gan1
Nasu	dry	fo,_ 21
Lisu	dry	fu 44 le 33
Baihong	dry	kɯ (gɯ?)55
Hani	dry	gee
Nosu	dry	totgga
Samei	dry	fә
Nisu	dry	fɛ_ 21
Biyue	dry	gɤ33
Kucong	dry	vi
Nusu	dry	hwej
Jinghpo	dry	ka
Lahu Shi	dry	vi33
Lahu Na	dry	vi
Zaozou	dry	ka 44
Jinuo	dry	a kɤ
Naxi	dry	pv.31
Zaiwa	dry	xui 55
Mandarin	duck	ya zi10
Nasu	duck	e 21
Lisu	duck	ɛ~ 35
Baihong	duck	ɔ55 xa55
Hani	duck	oq'a
Nosu	duck	ie
Samei	duck	ә
Nisu	duck	e 21
Biyue	duck	o31 bi55
Kucong	duck	a bæ
Nusu	duck	a
Jinghpo	duck	hkaipyek
Lahu Shi	duck	A31 pɛ31
Lahu Na	duck	a piel
Zaozou	duck	a 44 o~ 33
Jinuo	duck	tʃu ka
Naxi	duck	a55
Zaiwa	duck	pje_t 55
Mandarin	dull	dun4
Nasu	dull	ma 21 tha_ 21
Lisu	dull	di 31 le 33
Baihong	dull	dɔ31
Hani	dull	daoq
Nosu	dull	ap tuo
Samei	dull	mɔ the (not sharp)
Nisu	dull	dɤ 33
Biyue	dull	di31
Kucong	dull	a tha
Nusu	dull	ma tʊ
Jinghpo	dull	ton
Lahu Shi	dull	mA31 thAŋ53
Lahu Na	dull	mad zit
Zaozou	dull	tæ 31
Jinuo	dull	mә tha
Naxi	dull	mә33 tha55
Zaiwa	dull	tum 21
Mandarin	ear	er duo30
Nasu	ear	nɔ 21 pɔ 55
Lisu	ear	na 55 po 44
Baihong	ear	na31 bo55
Hani	ear	naq bol
Nosu	ear	hnapbo
Samei	ear	nɔ bu (possible confusion with nose?)
Nisu	ear	no 55 pA 55
Biyue	ear	no31 bo55
Kucong	ear	no bo
Nusu	ear	hi~ sә
Jinghpo	ear	na
